# time RePsi4 ImPsi4 AbsPsi4
7.379999999999999716e+01 3.994550924258827125e-06 -2.983688877901944497e-22 3.994550924258827125e-06
7.559999999999999432e+01 4.655045679557366002e-06 -3.760244545094682474e-22 4.655045679557366002e-06
7.740000000000000568e+01 4.993565264835329624e-06 -4.354444515285131639e-22 4.993565264835329624e-06
7.920000000000000284e+01 4.971158587202826019e-06 -2.957502176901119377e-22 4.971158587202826019e-06
8.100000000000000000e+01 4.585213919365688625e-06 -2.135072354936860601e-22 4.585213919365688625e-06
8.279999999999999716e+01 3.870879944678378264e-06 -1.923609517098767107e-22 3.870879944678378264e-06
8.459999999999999432e+01 2.897863446606099074e-06 -1.526317826169181410e-22 2.897863446606099074e-06
8.640000000000000568e+01 1.762780694436906095e-06 2.291705291500360469e-23 1.762780694436906095e-06
8.820000000000000284e+01 5.778918999604877712e-07 1.271944523140348699e-22 5.778918999604877712e-07
9.000000000000000000e+01 -5.424113718126276813e-07 1.481056472382279980e-22 5.424113718126276813e-07
9.179999999999999716e+01 -1.495703659273517491e-06 1.053969627309557824e-22 1.495703659273517491e-06
9.191249999999999432e+01 -1.453881676729879593e-06 -5.254076281763414394e-22 1.453881676729879593e-06
9.202500000000000568e+01 -1.342639204713719896e-06 -6.406464387905147839e-22 1.342639204713719896e-06
9.213750000000000284e+01 -1.222799262324080775e-06 -7.536648075132588745e-22 1.222799262324080775e-06
9.225000000000000000e+01 -1.074606329172567117e-06 -7.783631296833877055e-22 1.074606329172567117e-06
9.236249999999999716e+01 -1.050060360705380560e-06 -8.935474832868904459e-22 1.050060360705380560e-06
9.247499999999999432e+01 -1.095353193067647294e-06 -7.275867962994800788e-22 1.095353193067647294e-06
9.258750000000000568e+01 -1.159105946032584106e-06 -6.359467665758654621e-22 1.159105946032584106e-06
9.270000000000000284e+01 -1.257979753469641649e-06 -7.793024945441232241e-22 1.257979753469641649e-06
9.281250000000000000e+01 -1.311483408384244654e-06 -6.756662218159656145e-22 1.311483408384244654e-06
9.292499999999999716e+01 -1.348605207236624194e-06 -6.791053591055834438e-22 1.348605207236624194e-06
9.303749999999999432e+01 -1.393537280880925491e-06 -7.415391702928205216e-22 1.393537280880925491e-06
9.315000000000000568e+01 -1.437843941591672490e-06 -6.593169468909352064e-22 1.437843941591672490e-06
9.326250000000000284e+01 -1.482245573083183304e-06 -7.094853008112372218e-22 1.482245573083183304e-06
9.337500000000000000e+01 -1.526507398282960739e-06 -7.906197955729748402e-22 1.526507398282960739e-06
9.348749999999999716e+01 -1.570427005876190630e-06 -5.811123457903820299e-22 1.570427005876190630e-06
9.359999999999999432e+01 -1.613795014516584037e-06 -5.656165402547313560e-22 1.613795014516584037e-06
9.371250000000000568e+01 -1.657165098208524068e-06 -5.148713853048547380e-22 1.657165098208524068e-06
9.382500000000000284e+01 -1.700354186673063491e-06 -7.254629852655481332e-22 1.700354186673063491e-06
9.393750000000000000e+01 -1.743209649215427637e-06 -4.982886931201263147e-22 1.743209649215427637e-06
9.404999999999999716e+01 -1.785606147980001938e-06 -5.713225775312845900e-22 1.785606147980001938e-06
9.416249999999999432e+01 -1.827911335392458144e-06 -6.869711282409788602e-22 1.827911335392458144e-06
9.427500000000000568e+01 -1.870000490695331431e-06 -7.328449438557110522e-22 1.870000490695331431e-06
9.438750000000000284e+01 -1.911775698622450415e-06 -6.855133569078135727e-22 1.911775698622450415e-06
9.450000000000000000e+01 -1.953199807453154614e-06 -5.301885525292400755e-22 1.953199807453154614e-06
9.461249999999999716e+01 -1.994442081418181426e-06 -5.066481661958260873e-22 1.994442081418181426e-06
9.472499999999999432e+01 -2.035440701297886845e-06 -4.773877506754319277e-22 2.035440701297886845e-06
9.483750000000000568e+01 -2.076146611209606463e-06 -3.761559444163722387e-22 2.076146611209606463e-06
9.495000000000000284e+01 -2.116607885717449085e-06 -2.689589657467633317e-22 2.116607885717449085e-06
9.506250000000000000e+01 -2.156813113306190834e-06 -4.610520838119582910e-22 2.156813113306190834e-06
9.517499999999999716e+01 -2.196758105124207899e-06 -4.495621250848822983e-22 2.196758105124207899e-06
9.528749999999999432e+01 -2.236422376410053468e-06 -4.129831479490030297e-22 2.236422376410053468e-06
9.540000000000000568e+01 -2.275920021206582638e-06 -4.400266505111287154e-22 2.275920021206582638e-06
9.551250000000000284e+01 -2.315123802077815880e-06 -6.986300671464590776e-22 2.315123802077815880e-06
9.562500000000000000e+01 -2.354066344086821653e-06 -5.032117406127423741e-22 2.354066344086821653e-06
9.573749999999999716e+01 -2.392722777829614048e-06 -5.818490136832507605e-23 2.392722777829614048e-06
9.584999999999999432e+01 -2.431233865245572253e-06 -3.008100144382637081e-22 2.431233865245572253e-06
9.596250000000000568e+01 -2.469467626334665590e-06 -1.728805410668350770e-22 2.469467626334665590e-06
9.607500000000000284e+01 -2.507457389764069921e-06 -8.455466248783842960e-23 2.507457389764069921e-06
9.618750000000000000e+01 -2.545136439988853935e-06 -3.627951805896599997e-22 2.545136439988853935e-06
9.629999999999999716e+01 -2.582617586474525333e-06 -4.800793484816013254e-22 2.582617586474525333e-06
9.641249999999999432e+01 -2.619897602123116753e-06 -3.830358163021963233e-22 2.619897602123116753e-06
9.652500000000000568e+01 -2.656966995781046069e-06 -2.801918200241884994e-22 2.656966995781046069e-06
9.663750000000000284e+01 -2.693688066553765843e-06 -1.636107765867560437e-22 2.693688066553765843e-06
9.675000000000000000e+01 -2.730089000947042375e-06 -4.478936826331290412e-23 2.730089000947042375e-06
9.686249999999999716e+01 -2.766410220336192153e-06 -3.512572531360405700e-23 2.766410220336192153e-06
9.697499999999999432e+01 -2.802562081830903801e-06 -9.428457508764029309e-23 2.802562081830903801e-06
9.708750000000000568e+01 -2.838328167535228896e-06 -2.062820172558591296e-22 2.838328167535228896e-06
