# time RePsi4 ImPsi4 AbsPsi4
0.000000000000000000e+00 -1.226182664205260291e-07 1.767246871533968648e-07 2.150973135802515900e-07
1.800000000000000044e+00 -1.192338617921924802e-07 1.776613589903941671e-07 2.139632498262104934e-07
3.600000000000000089e+00 -1.193538553356430271e-07 1.808828488753153744e-07 2.167116697382302473e-07
5.400000000000000355e+00 -1.201069397411284131e-07 1.840398785594845909e-07 2.197643143783104932e-07
7.200000000000000178e+00 -1.214480547780867689e-07 1.871438452891947747e-07 2.230973976518041746e-07
9.000000000000000000e+00 -1.226136754017894177e-07 1.902626763345716386e-07 2.263492862845592257e-07
1.080000000000000071e+01 -1.220312510992275539e-07 1.935188096299432428e-07 2.287818959739449060e-07
1.259999999999999964e+01 -1.175475876078321653e-07 1.970704930894561211e-07 2.294650618262883758e-07
1.440000000000000036e+01 -1.070049600867393086e-07 2.010758869098093417e-07 2.277752703427900911e-07
1.619999999999999929e+01 -8.909590013220422785e-08 2.056462044674617203e-07 2.241170248603188464e-07
1.800000000000000000e+01 -6.432591981162018097e-08 2.107984060419290273e-07 2.203946277689838965e-07
1.980000000000000071e+01 -3.583460081997351475e-08 2.164163813747381254e-07 2.193630979523742640e-07
2.160000000000000142e+01 -9.806236277180743288e-09 2.222311405362452876e-07 2.224473917445747523e-07
2.339999999999999858e+01 4.770428655957187703e-09 2.278289021749280630e-07 2.278788398596818195e-07
2.519999999999999929e+01 -2.865421308190408469e-09 2.326885856194821286e-07 2.327062279288384320e-07
2.700000000000000000e+01 -4.343113938094962851e-08 2.362535200479755739e-07 2.402123843663907954e-07
2.880000000000000071e+01 -1.251862238050138481e-07 2.380300904309672701e-07 2.689422142043406725e-07
3.060000000000000142e+01 -2.512771171752171643e-07 2.376949313363653593e-07 3.458888116127598439e-07
3.239999999999999858e+01 -4.173392793747292109e-07 2.351944857457625556e-07 4.790496010166713290e-07
3.420000000000000284e+01 -6.099094992727740657e-07 2.308251295270057634e-07 6.521271637681755919e-07
3.600000000000000000e+01 -8.061594177087864399e-07 2.252665544617230311e-07 8.370412339422868403e-07
3.779999999999999716e+01 -9.753055745039542179e-07 2.195607104884874443e-07 9.997138936959403053e-07
3.960000000000000142e+01 -1.081801362345262941e-06 2.150333493421331371e-07 1.102965787729321572e-06
4.139999999999999858e+01 -1.090084843711420348e-06 2.131514209232229145e-07 1.110728812415947307e-06
4.320000000000000284e+01 -9.703245068248353997e-07 2.153303273082078187e-07 9.939299766097809503e-07
4.500000000000000000e+01 -7.043227869569229166e-07 2.227117434229473835e-07 7.386955454619012042e-07
4.679999999999999716e+01 -2.905701225131709470e-07 2.359320977610244864e-07 3.742926005830689532e-07
4.860000000000000142e+01 2.525253362616432572e-07 2.549049280395952652e-07 3.588113261770414407e-07
5.039999999999999858e+01 8.860018723476120319e-07 2.786382900327749901e-07 9.287834055773515794e-07
5.220000000000000284e+01 1.552699404573482951e-06 3.051105053614089897e-07 1.582393080572821038e-06
5.400000000000000000e+01 2.182538464429434317e-06 3.312234882225562368e-07 2.207528742251006684e-06
5.579999999999999716e+01 2.700181690646757372e-06 3.528566221267459600e-07 2.723139540729170526e-06
5.760000000000000142e+01 3.034164394128921284e-06 3.650258829846394560e-07 3.056042778798824073e-06
5.939999999999999858e+01 3.126342604820576718e-06 3.621633261790845793e-07 3.147249649701371781e-06
6.120000000000000284e+01 2.940447332475697097e-06 3.385097808444993934e-07 2.959868136723464666e-06
6.300000000000000000e+01 2.468629202734051260e-06 2.886059524931661085e-07 2.485442322083907460e-06
6.479999999999999716e+01 1.735082615083656633e-06 2.078500681727829490e-07 1.747487720129950234e-06
6.659999999999999432e+01 7.961421282484744920e-07 9.306959779294637922e-08 8.015636209343280981e-07
6.840000000000000568e+01 -2.633999115354163395e-07 -5.696416820830132366e-08 2.694892017438338674e-07
7.020000000000000284e+01 -1.337591871010826735e-06 -2.411540151046576620e-07 1.359156824062382411e-06
7.200000000000000000e+01 -2.309666485096369019e-06 -4.559179829134547373e-07 2.354234584641320339e-06
7.379999999999999716e+01 -3.064454576732043590e-06 -6.953036294836665806e-07 3.142344505306050735e-06
7.559999999999999432e+01 -3.501548241219948870e-06 -9.514083964939186483e-07 3.628500795440128581e-06
7.740000000000000568e+01 -3.547672242786262816e-06 -1.215078056734182365e-06 3.749985736798611907e-06
7.920000000000000284e+01 -3.166657588296379786e-06 -1.476794703354635693e-06 3.494086844566309561e-06
8.100000000000000000e+01 -2.365598608898590029e-06 -1.727640080210521466e-06 2.929299749969736570e-06
8.279999999999999716e+01 -1.196144235864588895e-06 -1.960181644588913422e-06 2.296317293575820077e-06
8.459999999999999432e+01 2.495407661767954390e-07 -2.169150048234825889e-06 2.183456554580660658e-06
8.640000000000000568e+01 1.847953314661365633e-06 -2.351808193765800420e-06 2.990975298031042701e-06
8.820000000000000284e+01 3.457629338824972880e-06 -2.507967897120115067e-06 4.271428756012244716e-06
9.000000000000000000e+01 4.935194564150156034e-06 -2.639671929511671462e-06 5.596785977815224943e-06
9.179999999999999716e+01 6.152177982878292813e-06 -2.750600314409923766e-06 6.739072341401626523e-06
9.191249999999999432e+01 6.174791908104138067e-06 -2.776892594305835717e-06 6.770464355470674391e-06
9.202500000000000568e+01 6.132590343913663700e-06 -2.801648955184053290e-06 6.742247488363728553e-06
9.213750000000000284e+01 6.089015471700687215e-06 -2.835945705928807960e-06 6.717045292506697432e-06
9.225000000000000000e+01 6.027637233026914858e-06 -2.878338089099199450e-06 6.679613818787100610e-06
9.236249999999999716e+01 6.040043563190399805e-06 -2.894040331749933354e-06 6.697581331124918918e-06
9.247499999999999432e+01 6.108726209992100204e-06 -2.905478171660203397e-06 6.764491061021395909e-06
9.258750000000000568e+01 6.183474048558895262e-06 -2.909906075916304987e-06 6.833952346911408993e-06
9.270000000000000284e+01 6.280464491394659216e-06 -2.908484797046832020e-06 6.921236742253635959e-06
9.281250000000000000e+01 6.350302022048144429e-06 -2.916265313521215575e-06 6.987913790973365251e-06
9.292499999999999716e+01 6.403905282721382491e-06 -2.922809464033489373e-06 7.039376253128579641e-06
9.303749999999999432e+01 6.464709127078345346e-06 -2.929814891033144196e-06 7.097624912141358127e-06
9.315000000000000568e+01 6.524255537366112535e-06 -2.936848184820299602e-06 7.154787738118767439e-06
9.326250000000000284e+01 6.583815117691854881e-06 -2.943658887308216147e-06 7.211917161807702064e-06
9.337500000000000000e+01 6.642971464415556484e-06 -2.950331072297767233e-06 7.268667230875619774e-06
9.348749999999999716e+01 6.701370327518862262e-06 -2.956916859375088925e-06 7.324733550089511356e-06
9.359999999999999432e+01 6.758395098206508499e-06 -2.963434410367521207e-06 7.379556071201847986e-06
9.371250000000000568e+01 6.815459188582009027e-06 -2.969807678148141440e-06 7.434395846093654625e-06
9.382500000000000284e+01 6.872093269822782251e-06 -2.976062521566224659e-06 7.488832622072327455e-06
9.393750000000000000e+01 6.927962842975951453e-06 -2.982218149229963186e-06 7.542565494793665618e-06
9.404999999999999716e+01 6.982388528284119571e-06 -2.988238747911027223e-06 7.594953612394913009e-06
9.416249999999999432e+01 7.036841017686084129e-06 -2.994169213477194309e-06 7.647364303282795119e-06
9.427500000000000568e+01 7.090826821058057051e-06 -2.999994963574561204e-06 7.699337295359194906e-06
9.438750000000000284e+01 7.144063971584937012e-06 -3.005709469407949933e-06 7.750608972499294476e-06
9.450000000000000000e+01 7.195859732395430598e-06 -3.011262041500416608e-06 7.800518980868600025e-06
9.461249999999999716e+01 7.247612941049885271e-06 -3.016747437820023480e-06 7.850392247962356251e-06
9.472499999999999432e+01 7.298849530662070805e-06 -3.022134266327667324e-06 7.899778477587697620e-06
9.483750000000000568e+01 7.349367757063160840e-06 -3.027401417855022131e-06 7.948481979182578971e-06
9.495000000000000284e+01 7.398521149925040378e-06 -3.032523974735555062e-06 7.995893750121625836e-06
9.506250000000000000e+01 7.447510483329867950e-06 -3.037568898837148477e-06 8.043148464033907319e-06
9.517499999999999716e+01 7.495923979538637084e-06 -3.042513802161930226e-06 8.089855780134043320e-06
9.528749999999999432e+01 7.543648959504697287e-06 -3.047336217781986757e-06 8.135901772295564918e-06
9.540000000000000568e+01 7.590132827568688752e-06 -3.052073703137314177e-06 8.180786651020681636e-06
9.551250000000000284e+01 7.636308175487569697e-06 -3.056692282157240287e-06 8.225361405969826173e-06
9.562500000000000000e+01 7.681849894611906575e-06 -3.061202872818487782e-06 8.269327713417888589e-06
9.573749999999999716e+01 7.726717529530337938e-06 -3.065594643267106412e-06 8.312643039249272261e-06
